group_id,分类,分类中文,日文母故事名,网站显示文本,子剧情数量,出现次数,source_sha256,children_sha256
memoria:8b1cba1379c7ebfb,メモリア,记忆结晶资料,No.363 姉妹水入らず,No.363 姐妹相依为命,1,1,8b1cba1379c7ebfb27f0a203229df83e3266c4e06524f0ccd245f90aefea6b55,180df5267ccc0de587e45af9381aa9a135b19913ea5bbb9a6772df477eaaff97
memoria:af25d6b612c72b58,メモリア,记忆结晶资料,No.364 不可思議メモリアル,No.364 不可思议的纪念,1,1,af25d6b612c72b58363aa70fd743e8c58ec86a0635f030854101d05669155d3d,849694b005fd7a3935e3f36e5ca1d91f494eb41b1562caf8741194cf5d4e0cf5
memoria:3510a92e48a3fa27,メモリア,记忆结晶资料,No.365 想いはひとつ,No.365 同心协力,1,1,3510a92e48a3fa27bbfffb5c1fbd69c9083cf0ccaba708b5840888f33bdbbf92,ab74cde70d10a3126866e76c1608d04f45fde6a5dc4dcd0681594b1ebfd3e343
memoria:6a1719572bba8381,メモリア,记忆结晶资料,No.366 ニコイチ,No.366 二合一,1,1,6a1719572bba8381dccaf76815469614b257938d7418c1e0d6a0eaa0074021b4,71d1126447bf4d1ec713d5f6bc56f74a71f263067cec22e025754acb43ff1d07
memoria:825c6b202a47d08d,メモリア,记忆结晶资料,No.367 ミコイチ？,No.367 ミコイチ？,1,1,825c6b202a47d08d0d53f3f13a813512821d27baee7c57e6685939af6bdfe04b,6784f5c7603750dd3b8e1aecc86c66279802520caf7540f2280afa609e117f9a
memoria:53d5d7c14db7af95,メモリア,记忆结晶资料,No.368 無人島のご馳走,No.368 无人岛的佳肴,1,1,53d5d7c14db7af95bf912125087927cf912e2c73e11bb6f383d51c8583df873d,b1a7a3dcf9259d79b3b3705331018a7c7d7b934f11d2c6b59c59f4dfd60e3d49
memoria:8ca21b7a74205423,メモリア,记忆结晶资料,No.369 いざ、宝探し！,No.369 いざ、宝探し！,1,1,8ca21b7a74205423f1966ffa042e8e4eaab3d061504a6d335ab07be9b45feed5,a9b4b3297898d1ac973699a267d7adee32976ac56da5c6e1d1346c4e2cb6a3de
memoria:3f24c00ad44be8ba,メモリア,记忆结晶资料,No.37 渾身の一発ギャグ,No.37 全力的一发噱头,1,1,3f24c00ad44be8ba9c1f5a9b1a88935dc4c3ae6d3daae0e85fad0ba9235bf8ab,efa8c19615fe512fc5eb3b6c8393352e387b8ff710ef65401357403b7dbdc50b
memoria:c176fc5e70ae3722,メモリア,记忆结晶资料,No.370 海の家の楽しみ,No.370 海之家的享乐,1,1,c176fc5e70ae372232dfbb72146734608f8eff92996374b79f86e1fa6fb5cbe7,e415f9fbbe0ab8d663eced2a5d38cebf63aae5849b35ef85d5e4ea60c215494c
memoria:e583a5350dd3d09e,メモリア,记忆结晶资料,No.371 今この時だけの宝物,No.371 只属于此时的宝物,1,1,e583a5350dd3d09ecece9967f75969649ed66f04fc537d5104100824bff20de9,49eff5cef5574c6ab41e843f875d53580e0f4755a19e0da7885450839f73573c
memoria:af2975e89b3a5936,メモリア,记忆结晶资料,No.372 海の中でも自由自在！,No.372 海の中でも自由自在！,1,1,af2975e89b3a593602238be83f2078392f286f6b07779814fd8dd42494de7333,8ccc27bf416c647e651edf45ef78365b332330b9e0bfa62a2585638d054534d9
memoria:723f0c0b6922396e,メモリア,记忆结晶资料,No.373 真相はすぐ傍にあります,No.373 真相就在身旁,1,1,723f0c0b6922396e17f1151c2867506acce1ddaef147db425ec018c338af2844,f4dfee2a63149a94e6f6a045d42182424b015c5b1c067363090684f64a8b27a5
memoria:687d632d41e39c7d,メモリア,记忆结晶资料,No.374 朝焼けに発つ,No.374 在朝霞中启程,1,1,687d632d41e39c7d35a9218723ede0c96d72e0bd295e637f72cb794cce7b47e7,6809c8a636bb9fdf021679dd5ac39139e9abddb6577d19430019a9ffab3e51bb
memoria:8317cd080d8a8322,メモリア,记忆结晶资料,No.375 巫の墓,No.375 巫之墓,1,1,8317cd080d8a8322a44b426316b6ea559a82b3c014cb26c201f26ff973a263b0,8cbda321d4fa24e2b56918ed7d5cc4ca7d304fd0d6e527308ae08c93debca1cc
memoria:3da2093a6b40e460,メモリア,记忆结晶资料,No.376 日の本の為に魂を,No.376 为了日出之国献上灵魂,1,1,3da2093a6b40e460b17cb1582ef0045f18187ca0ceb696ff6d3c8d03d6454160,bd35d8995c268a3be0c5293868b63e3c581b70decf16bb65cd7bb0fae40b0492
memoria:41e562629fa7f2c2,メモリア,记忆结晶资料,No.377 冷やせば落ちつくかな？,No.377 冷やせば落ちつくかな？,1,1,41e562629fa7f2c210469876d0af32e3ad3e100dd3d70ba169668f6fcfa89372,6348a8350558a6e0ef4b361466d647a29d3877c623a71e059df4d934950a7d4a
memoria:7c5054dbb4dc7a27,メモリア,记忆结晶资料,No.378 私たちだけのベストショット,No.378 只属于我们的最佳镜头,1,1,7c5054dbb4dc7a2704057e308ab7aabfbad24f86c8fbfe5e832e8ac0d1ee4f75,0bb5910cb03b2f2aa942f6ba4ad9f0c23b1b0fa97e1764b2d9071da631fd653c
